,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2017-02-26 07:00:00-06:00,8162.8148677,1244.0692656,2165.9041384,809.2381463,11674.9950942,2139.0883035,4953.0806823,1080.7506625,32229.9411605
2017-02-26 08:00:00-06:00,8476.8383654,1286.0109492,2167.195574,827.3583402,11966.2491899,2299.4375457,5219.3353026,1106.1537442,33348.5790112
2017-02-26 09:00:00-06:00,8750.8450589,1255.1133503,2160.614198,820.6588194,11984.0482841,2484.2393754,5380.115635,1098.183302,33933.8180231
2017-02-26 10:00:00-06:00,8946.1817959,1209.1967553,2153.4617729,785.5716715,11839.962444,2640.8944488,5405.2446892,1066.0500801,34046.5636577
2017-02-26 11:00:00-06:00,9096.1977372,1148.0163576,2141.160355,762.2724468,11516.603316,2759.6408653,5361.3047831,1031.7734404,33816.9693014
2017-02-26 12:00:00-06:00,9222.6557963,1145.2732862,2143.6576949,753.6920838,11279.5852507,2878.8162954,5269.0762735,1010.7283561,33703.4850369
2017-02-26 13:00:00-06:00,9277.5636837,1126.9464719,2133.2611956,738.5805138,10952.4258105,3009.8244287,5177.2386079,1002.0417685,33417.8824806
2017-02-26 14:00:00-06:00,9276.9038753,1097.2278727,2127.7228733,721.8322399,10665.1108636,3110.7154628,5113.0347972,989.1301803,33101.6781651
2017-02-26 15:00:00-06:00,9271.1835888,1095.3001787,2126.5602132,707.3925762,10463.8155075,3195.3974193,5144.6091928,986.7092319,32990.9679084
2017-02-26 16:00:00-06:00,9320.3150718,1104.5268974,2134.0289089,705.443765,10465.5032924,3237.6397538,5253.6846754,992.2154242,33213.3577889
2017-02-26 17:00:00-06:00,9473.0066456,1132.1217683,2136.3153683,723.241953,10687.1234718,3204.6044664,5436.6028609,1007.1750001,33800.1915344
2017-02-26 18:00:00-06:00,9936.1137426,1200.1053298,2157.4860792,752.806152,11239.6017018,3187.2732684,5722.0428303,1055.5862496,35251.0153537
2017-02-26 19:00:00-06:00,10138.0606535,1232.0558032,2208.0011124,771.2608468,11527.7516787,3282.206208,5941.2948854,1093.0111352,36193.6423232
2017-02-26 20:00:00-06:00,10015.2230176,1207.3407845,2200.587701,763.9472707,11280.2988379,3223.4512272,5818.4585707,1074.0955057,35583.4029153
2017-02-26 21:00:00-06:00,9733.5221239,1165.1919911,2174.8161426,736.3831073,10766.3393223,3108.6393015,5567.962357,1040.3156405,34293.1699862
2017-02-26 22:00:00-06:00,9245.516195,1079.4429789,2127.8267813,700.1659715,9951.2442872,2900.4962546,5169.3653755,985.5397545,32159.5975985
2017-02-26 23:00:00-06:00,8699.7361386,935.327953,2081.7323077,666.9982195,9108.3181342,2647.89062,4738.6948573,933.4984764,29812.1967067
2017-02-27 00:00:00-06:00,8343.323916,919.1863759,2029.8070902,642.9776758,8590.8528613,2435.9859231,4370.1621068,899.3153079,28231.611257
2017-02-27 01:00:00-06:00,8140.1592471,848.1154955,2026.5517884,637.4410435,8247.5035237,2305.24229,4167.7788954,890.0973212,27262.8896048
